DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,COC(C)CO,O
0,for_solvent_tsne,CCCCCCCCC,O
0,for_solvent_tsne,COC(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,O
0,for_solvent_tsne,CC(C)Cl,O
0,for_solvent_tsne,CS(=O)(=O)Cl,O
0,for_solvent_tsne,CC(C)(C)OO,O
0,for_solvent_tsne,NC1CC1,O
0,for_solvent_tsne,NCCNCCNCCNCCNCCN,O
0,for_solvent_tsne,CC(=O)C(C)=O,O
0,for_solvent_tsne,ClCC(Cl)(Cl)Cl,O
0,for_solvent_tsne,CCCCNCCCC,O
0,for_solvent_tsne,CSC(C)C,O
0,for_solvent_tsne,CN(C)N=O,O
0,for_solvent_tsne,C#CCCCCC,O
0,for_solvent_tsne,NCCCCCN,O
0,for_solvent_tsne,CC(C)(C)SSC(C)(C)C,O
0,for_solvent_tsne,C1COC1,O
0,for_solvent_tsne,CCCCC(CC)CCO,O
0,for_solvent_tsne,CNC=O,O
0,for_solvent_tsne,CCCCCCCCCCCCS,O
0,for_solvent_tsne,CCCCS,O
0,for_solvent_tsne,FC(F)(F)C(Cl)Cl,O
0,for_solvent_tsne,CCCCCCC(C)(C)S,O
0,for_solvent_tsne,CC/C=C(\C)C=O,O
0,for_solvent_tsne,Cc1cc(C)c(C)s1,O
0,for_solvent_tsne,O=S(=O)(Cl)Cl,O
0,for_solvent_tsne,COc1ccccc1[N+](=O)[O-],O
0,for_solvent_tsne,C=CCCCC,O
0,for_solvent_tsne,C1COCCO1,O
0,for_solvent_tsne,CC(=O)c1ccccc1O,O
0,for_solvent_tsne,CCCCOB(OCCCC)OCCCC,O
0,for_solvent_tsne,CC/C=C/CCC,O
0,for_solvent_tsne,CCCCCCC(C)C(=O)O,O
0,for_solvent_tsne,CC(C)(C)O,O
0,for_solvent_tsne,CC1=CCC(C(C)C)=CC1,O
0,for_solvent_tsne,CCc1cccs1,O
0,for_solvent_tsne,FC(F)(F)c1ccccc1,O
0,for_solvent_tsne,CC(C)(C)SC(C)(C)C,O
0,for_solvent_tsne,CCc1csc2ccccc12,O
0,for_solvent_tsne,CC1CN1,O
0,for_solvent_tsne,N#CCCCC#N,O
0,for_solvent_tsne,CCC1CO1,O
0,for_solvent_tsne,CCCCCCCCC(=O)O,O
0,for_solvent_tsne,N#CCN,O
0,for_solvent_tsne,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CCCC(=O)OC(=O)CCC,O
0,for_solvent_tsne,CCC1=CCCCC1,O
0,for_solvent_tsne,C=CF,O
0,for_solvent_tsne,CCCCCCCCS,O
0,for_solvent_tsne,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,O
0,for_solvent_tsne,CCCCOC(=O)CCCC,O
0,for_solvent_tsne,ClN(Cl)Cl,O
0,for_solvent_tsne,ClC(Cl)=C(Cl)Cl,O
0,for_solvent_tsne,C=C(C)Cl,O
0,for_solvent_tsne,Cc1ccc(C=O)cc1,O
0,for_solvent_tsne,O=NCl,O
0,for_solvent_tsne,C=CC(=O)OCC(CC)CCCC,O
0,for_solvent_tsne,C=COC=C,O
0,for_solvent_tsne,CC(C)c1ccccc1,O
0,for_solvent_tsne,CCCCCCCl,O
0,for_solvent_tsne,CCc1ccccc1,O
0,for_solvent_tsne,CCCCCCCC(CO)CCCC,O
0,for_solvent_tsne,C=C(C)C(C)(C)C,O
0,for_solvent_tsne,CCc1ccc(C)cc1,O
0,for_solvent_tsne,COCCOCCOCCOCCOCCOC,O
0,for_solvent_tsne,CCCCCCO,O
0,for_solvent_tsne,CCCc1cccc(C)c1C,O
0,for_solvent_tsne,CCCCOC(C)=O,O
0,for_solvent_tsne,ClC=CCl,O
0,for_solvent_tsne,C=C(C)CCCC,O
0,for_solvent_tsne,CC(O)C(C)O,O
0,for_solvent_tsne,COCC(C)O,O
0,for_solvent_tsne,CCC(CC)C(C)C,O
0,for_solvent_tsne,CCN(CC)CCO,O
0,for_solvent_tsne,CC1OCCO1,O
0,for_solvent_tsne,CCCC(=O)CC,O
0,for_solvent_tsne,OCCCO,O
0,for_solvent_tsne,O=C(Cl)CCl,O
